Company Name,Model Name,Mobile Weight,RAM,Front Camera,Back Camera,Processor,Battery Capacity,Screen Size,Launched Price (Pakistan),Launched Price (India),Launched Price (China),Launched Price (USA),Launched Price (Dubai),Launched Year
Huawei,P50,181g,8GB,13MP,50MP,Snapdragon 888 4G,"4,100mAh",6.5 inches,"PKR 129,999","INR 59,999","CNY 4,488",USD 699,"AED 2,599",2021
Huawei,P50 Pro,195g,8GB,13MP,50MP,Snapdragon 888 4G,"4,360mAh",6.6 inches,"PKR 149,999","INR 79,999","CNY 5,988",USD 899,"AED 3,299",2021
Huawei,P50 Pocket,190g,8GB,10.7MP,40MP,Snapdragon 888 4G,"4,000mAh",6.9 inches (unfolded),"PKR 199,999","INR 129,999","CNY 8,988","USD 1,299","AED 4,799",2021
Huawei,Mate 40E,188g,8GB,13MP,64MP,Kirin 990E 5G,"4,200mAh",6.5 inches,"PKR 139,999","INR 69,999","CNY 4,599",USD 799,"AED 2,999",2021
Huawei,Mate X2,295g,8GB,16MP,50MP,Kirin 9000 5G,"4,500mAh",8.0 inches (unfolded),"PKR 349,999","INR 249,999","CNY 17,999","USD 2,699","AED 9,999",2021
Huawei,Nova 9,175g,8GB,32MP,50MP,Snapdragon 778G 4G,"4,300mAh",6.57 inches,"PKR 89,999","INR 37,999","CNY 2,699",USD 499,"AED 1,899",2021
Huawei,Nova 9 Pro,186g,8GB,Dual 32MP,50MP,Snapdragon 778G 4G,"4,000mAh",6.72 inches,"PKR 109,999","INR 44,999","CNY 3,499",USD 599,"AED 2,199",2021
Huawei,P50E,181g,8GB,13MP,50MP,Snapdragon 778G 4G,"4,100mAh",6.5 inches,"PKR 119,999","INR 54,999","CNY 4,088",USD 649,"AED 2,399",2022
Huawei,Mate Xs 2,255g,8GB,10.7MP,50MP,Snapdragon 888 4G,"4,600mAh",7.8 inches (unfolded),"PKR 299,999","INR 199,999","CNY 14,999","USD 2,499","AED 8,999",2022
Huawei,Mate 50,202g,8GB,13MP,50MP,Snapdragon 8+ Gen 1 4G,"4,460mAh",6.7 inches,"PKR 169,999","INR 84,999","CNY 6,299",USD 999,"AED 3,699",2022
Huawei,Mate 50 Pro,205g,8GB,13MP,50MP,Snapdragon 8+ Gen 1 4G,"4,700mAh",6.74 inches,"PKR 189,999","INR 99,999","CNY 7,299","USD 1,199","AED 4,399",2022
Huawei,Nova 10,168g,8GB,60MP,50MP,Snapdragon 778G 4G,"4,000mAh",6.67 inches,"PKR 99,999","INR 39,999","CNY 2,699",USD 499,"AED 1,899",2022
Huawei,Nova 10 Pro,191g,8GB,Dual 60MP,50MP,Snapdragon 778G 4G,"4,500mAh",6.78 inches,"PKR 119,999","INR 49,999","CNY 3,499",USD 599,"AED 2,199",2022
Huawei,Nova 10 SE,184g,8GB,16MP,108MP,Snapdragon 680 4G,"4,500mAh",6.67 inches,"PKR 79,999","INR 34,999","CNY 2,299",USD 399,"AED 1,499",2022
Huawei,P60,197g,8GB,13MP,48MP (wide) + 13MP (ultrawide) + 48MP (telephoto),Snapdragon 8+ Gen 1 4G,"4,815mAh",6.67 inches,"PKR 169,999","INR 84,999","CNY 6,988",USD 999,"AED 3,699",2023
Huawei,P60 Pro,200g,8GB / 12GB,13MP,48MP (wide) + 13MP (ultrawide) + 48MP (telephoto),Snapdragon 8+ Gen 1 4G,"4,815mAh",6.67 inches,"PKR 189,999","INR 99,999","CNY 7,988","USD 1,099","AED 4,199",2023
Huawei,P60 Art,206g,8GB / 12GB,13MP,48MP (wide) + 40MP (ultrawide) + 48MP (telephoto),Snapdragon 8+ Gen 1 4G,"5,100mAh",6.73 inches,"PKR 219,999","INR 119,999","CNY 8,988","USD 1,299","AED 4,799",2023
Huawei,Mate X3,239g,12GB,8MP,50MP (wide) + 13MP (ultrawide) + 12MP (periscope telephoto),Snapdragon 8+ Gen 1 4G,"4,800mAh",7.85 inches (unfolded),"PKR 349,999","INR 249,999","CNY 13,999","USD 2,499","AED 9,999",2023
Huawei,Mate 60,209g,12GB,13MP,50MP (wide) + 12MP (ultrawide) + 12MP (telephoto),Kirin 9000S,"4,750mAh",6.7 inches,"PKR 199,999","INR 109,999","CNY 6,999","USD 1,099","AED 4,099",2023
