Company Name,Model Name,Mobile Weight,RAM,Front Camera,Back Camera,Processor,Battery Capacity,Screen Size,Launched Price (Pakistan),Launched Price (India),Launched Price (China),Launched Price (USA),Launched Price (Dubai),Launched Year
Infinix,Xpad,450g,6GB,8MP,13MP,MediaTek Helio G99,"7,000mAh",10.1 inches,"PKR 54,999","INR 21,999","CNY 1,999",USD 299,"AED 1,099",2024
Infinix,Xpad 5G,470g,8GB,16MP,50MP,MediaTek Dimensity 810,"8,000mAh",10.4 inches,"PKR 79,999","INR 29,999","CNY 2,499",USD 399,"AED 1,499",2024
Infinix,Xpad Lite,420g,4GB,5MP,8MP,Unisoc T606,"6,000mAh",9.7 inches,"PKR 39,999","INR 14,999","CNY 1,399",USD 219,AED 799,2024
Infinix,Xpad Pro,480g,12GB,32MP,50MP,MediaTek Dimensity 9200,"9,000mAh",11.0 inches,"PKR 99,999","INR 39,999","CNY 3,499",USD 549,"AED 1,999",2024
Infinix,Hot 50,192g,6GB,8MP,50MP,MediaTek Helio G85,"5,000mAh",6.78 inches,"PKR 39,999","INR 14,999","CNY 1,399",USD 219,AED 799,2024
Infinix,Hot 50i,190g,4GB,8MP,50MP,Unisoc T606,"5,000mAh",6.6 inches,"PKR 32,999","INR 12,499","CNY 1,199",USD 179,AED 699,2024
Infinix,Hot 50 5G,195g,8GB,16MP,50MP,MediaTek Dimensity 810,"5,200mAh",6.78 inches,"PKR 48,999","INR 18,999","CNY 1,799",USD 289,"AED 1,049",2024
Infinix,Hot 50 Pro,194g,8GB,16MP,50MP,MediaTek Helio G99,"5,000mAh",6.8 inches,"PKR 45,999","INR 17,999","CNY 1,699",USD 269,AED 999,2024
Infinix,Hot 50 Pro+,196g,12GB,32MP,108MP,MediaTek Dimensity 9200,"5,300mAh",6.9 inches,"PKR 64,999","INR 24,999","CNY 2,499",USD 379,"AED 1,399",2024
Infinix,GT 20 Pro,198g,12GB,32MP,108MP,MediaTek Dimensity 8200,"5,500mAh",6.9 inches,"PKR 89,999","INR 32,999","CNY 2,999",USD 449,"AED 1,699",2024
Infinix,Note 40X 5G,198g,8GB,32MP,108MP,MediaTek Dimensity 7200,"5,200mAh",6.8 inches,"PKR 64,999","INR 23,999","CNY 2,299",USD 349,"AED 1,299",2024
Infinix,Note 40S,196g,8GB,32MP,50MP,MediaTek Helio G99,"5,000mAh",6.78 inches,"PKR 42,999","INR 16,999","CNY 1,799",USD 279,AED 999,2024
Infinix,Note 40 5G,195g,8GB,32MP,108MP,MediaTek Dimensity 8100,"5,200mAh",6.8 inches,"PKR 54,999","INR 19,999","CNY 1,999",USD 319,"AED 1,099",2024
Infinix,Note 40 Pro 5G,195g,12GB,32MP,108MP,MediaTek Dimensity 9000,"5,300mAh",6.8 inches,"PKR 72,999","INR 27,999","CNY 2,499",USD 399,"AED 1,499",2024
