Company Name,Model Name,Mobile Weight,RAM,Front Camera,Back Camera,Processor,Battery Capacity,Screen Size,Launched Price (Pakistan),Launched Price (India),Launched Price (China),Launched Price (USA),Launched Price (Dubai),Launched Year
Motorola,Edge 50 Fusion 128GB,168g,8GB,32MP,50MP,Snapdragon 7 Gen 1,"5,000mAh",6.7 inches,"PKR 139,999","INR 29,999","CNY 2,499",USD 499,"AED 1,899",2024
Motorola,Edge 50 Fusion 256GB,168g,12GB,32MP,50MP,Snapdragon 7 Gen 1,"5,000mAh",6.7 inches,"PKR 159,999","INR 34,999","CNY 2,799",USD 549,"AED 2,099",2024
Motorola,Edge 50 Pro 128GB,186g,8GB,50MP,50MP,Snapdragon 7 Gen 3,"4,500mAh",6.7 inches,"PKR 169,999","INR 34,999","CNY 2,999",USD 549,"AED 2,099",2024
Motorola,Edge 50 Pro 256GB,186g,12GB,50MP,50MP,Snapdragon 7 Gen 3,"4,500mAh",6.7 inches,"PKR 189,999","INR 39,999","CNY 3,299",USD 599,"AED 2,299",2024
Motorola,Razr 128GB,192g,8GB,32MP,50MP,Snapdragon 8+ Gen 1,"3,500mAh","6.7 inches (main), 2.7 inches (external)","PKR 199,999","INR 59,999","CNY 5,999",USD 999,"AED 3,699",2023
Motorola,Razr 256GB,192g,12GB,32MP,50MP,Snapdragon 8+ Gen 1,"3,500mAh","6.7 inches (main), 2.7 inches (external)","PKR 219,999","INR 64,999","CNY 6,499","USD 1,099","AED 3,999",2023
Motorola,G84 5G 128GB,166g,8GB,16MP,50MP,Snapdragon 695,"5,000mAh",6.5 inches,"PKR 79,999","INR 19,999","CNY 1,799",USD 299,"AED 1,099",2023
Motorola,G84 5G 256GB,166g,12GB,16MP,50MP,Snapdragon 695,"5,000mAh",6.5 inches,"PKR 89,999","INR 22,999","CNY 1,999",USD 349,"AED 1,299",2023
Motorola,Moto G Stylus 64GB,195g,4GB,16MP,50MP,MediaTek Helio G88,"5,000mAh",6.8 inches,"PKR 49,999","INR 21,999","CNY 1,499",USD 199,AED 799,2023
Motorola,Moto G Stylus 128GB,195g,6GB,16MP,50MP,MediaTek Helio G88,"5,000mAh",6.8 inches,"PKR 54,999","INR 24,999","CNY 1,699",USD 249,AED 899,2023
Motorola,One Vision 3 128GB,180g,6GB,25MP,48MP,Exynos 9609,"3,500mAh",6.3 inches,"PKR 39,999","INR 19,999","CNY 1,399",USD 299,"AED 1,099",2024
Motorola,One Vision 3 256GB,180g,8GB,25MP,48MP,Exynos 9609,"3,500mAh",6.3 inches,"PKR 44,999","INR 22,999","CNY 1,599",USD 349,"AED 1,299",2024
Motorola,Edge 50 Lite 128GB,170g,6GB,32MP,64MP,Snapdragon 695,"5,000mAh",6.7 inches,"PKR 59,999","INR 27,999","CNY 2,199",USD 399,"AED 1,499",2024
Motorola,Edge 50 Lite 256GB,170g,8GB,32MP,64MP,Snapdragon 695,"5,000mAh",6.7 inches,"PKR 64,999","INR 29,999","CNY 2,399",USD 449,"AED 1,699",2024
Motorola,Moto E40 Plus 64GB,198g,4GB,8MP,48MP,Unisoc T700,"5,000mAh",6.5 inches,"PKR 29,999","INR 11,999","CNY 1,299",USD 199,AED 749,2023
Motorola,Moto E40 Plus 128GB,198g,6GB,8MP,48MP,Unisoc T700,"5,000mAh",6.5 inches,"PKR 34,999","INR 13,999","CNY 1,499",USD 229,AED 849,2023
Motorola,Moto G Power 64GB,206g,4GB,16MP,50MP,Snapdragon 662,"5,000mAh",6.6 inches,"PKR 39,999","INR 17,999","CNY 1,599",USD 249,AED 949,2022
Motorola,Moto G Power 128GB,206g,6GB,16MP,50MP,Snapdragon 662,"5,000mAh",6.6 inches,"PKR 44,999","INR 19,999","CNY 1,799",USD 279,"AED 1,049",2022
Motorola,Moto G Play 32GB,203g,3GB,5MP,13MP,MediaTek Helio G25,"5,000mAh",6.5 inches,"PKR 24,999","INR 9,999",CNY 999,USD 149,AED 549,2022
Motorola,Moto G Play 64GB,203g,4GB,5MP,13MP,MediaTek Helio G25,"5,000mAh",6.5 inches,"PKR 29,999","INR 11,999","CNY 1,199",USD 179,AED 649,2022
Motorola,Moto G75 5G 128GB,205g,8GB,16MP,50MP,Snapdragon 6 Gen 3,"5,000mAh",6.78 inches,"PKR 89,999","INR 34,999","CNY 2,699",USD 320,"AED 1,175",2024
