Company Name,Model Name,Mobile Weight,RAM,Front Camera,Back Camera,Processor,Battery Capacity,Screen Size,Launched Price (Pakistan),Launched Price (India),Launched Price (China),Launched Price (USA),Launched Price (Dubai),Launched Year
Nokia,G42 5G 128GB,193g,4GB,8MP,50MP,Snapdragon 480+,"5,000mAh",6.56 inches,"PKR 74,999","INR 18,999","CNY 1,499",USD 229,AED 849,2023
Nokia,G20 64GB,197g,4GB,8MP,48MP,MediaTek G35,"5,050mAh",6.52 inches,"PKR 48,999","INR 12,499",CNY 999,USD 169,AED 629,2021
Nokia,G20 128GB,197g,4GB,8MP,48MP,MediaTek G35,"5,050mAh",6.52 inches,"PKR 54,999","INR 13,999","CNY 1,199",USD 189,AED 699,2021
Nokia,C32 64GB,199g,3GB,8MP,50MP,Unisoc SC9863A,"5,000mAh",6.52 inches,"PKR 39,999","INR 9,999",CNY 899,USD 139,AED 499,2023
Nokia,C32 128GB,199g,4GB,8MP,50MP,Unisoc SC9863A,"5,000mAh",6.52 inches,"PKR 44,999","INR 10,999",CNY 999,USD 159,AED 549,2023
Nokia,G21 64GB,190g,4GB,8MP,50MP,Unisoc T606,"5,050mAh",6.5 inches,"PKR 46,999","INR 11,999","CNY 1,099",USD 169,AED 619,2022
Nokia,G21 128GB,190g,6GB,8MP,50MP,Unisoc T606,"5,050mAh",6.5 inches,"PKR 52,999","INR 13,999","CNY 1,299",USD 189,AED 699,2022
Nokia,C22 64GB,190g,2GB,8MP,13MP,Unisoc SC9863A,"5,000mAh",6.5 inches,"PKR 34,999","INR 8,499",CNY 799,USD 119,AED 449,2023
Nokia,C22 128GB,190g,3GB,8MP,13MP,Unisoc SC9863A,"5,000mAh",6.5 inches,"PKR 38,999","INR 9,499",CNY 899,USD 139,AED 499,2023
Nokia,G400 128GB,198g,6GB,16MP,48MP,Snapdragon 480,"5,000mAh",6.58 inches,"PKR 79,999","INR 22,999","CNY 1,799",USD 239,AED 899,2022
Nokia,T21,466g,4GB,8MP,8MP,Unisoc T612,8200mAh,10.4 inches,"PKR 52,000","INR 17,999","CNY 1,250","USD 396,22",AED 870,2022
