Company Name,Model Name,Mobile Weight,RAM,Front Camera,Back Camera,Processor,Battery Capacity,Screen Size,Launched Price (Pakistan),Launched Price (India),Launched Price (China),Launched Price (USA),Launched Price (Dubai),Launched Year
Realme,GT 7 Pro 128GB,222.8g,12GB,16MP,50MP + 50MP + 8MP,Qualcomm Snapdragon 8 Elite,"6,500mAh",6.78 inches,"PKR 139,999","INR 59,999","CNY 3,400",USD 470,"AED 1,725",2024
Realme,GT 7 Pro 256GB,222.8g,16GB,16MP,50MP + 50MP + 8MP,Qualcomm Snapdragon 8 Elite,"6,500mAh",6.78 inches,"PKR 149,999","INR 65,999","CNY 3,600",USD 500,"AED 1,840",2024
Realme,GT 6 128GB,191g,8GB,32MP,50MP + 8MP + 50MP,Qualcomm Snapdragon 8s Gen 3,"5,500mAh",6.78 inches,"PKR 89,999","INR 37,999","CNY 2,800",USD 380,"AED 1,400",2023
Realme,GT 6 256GB,191g,12GB,32MP,50MP + 8MP + 50MP,Qualcomm Snapdragon 8s Gen 3,"5,500mAh",6.78 inches,"PKR 94,999","INR 39,999","CNY 2,900",USD 400,"AED 1,460",2023
Realme,GT 6 512GB,191g,16GB,32MP,50MP + 8MP + 50MP,Qualcomm Snapdragon 8s Gen 3,"5,500mAh",6.78 inches,"PKR 99,999","INR 41,999","CNY 3,000",USD 420,"AED 1,520",2023
Realme,GT 6T 128GB,191g,8GB,32MP,50MP + 8MP,Qualcomm Snapdragon 7 Plus Gen 3,"5,500mAh",6.78 inches,"PKR 84,999","INR 28,756","CNY 2,700",USD 360,"AED 1,330",2023
Realme,GT 6T 256GB,191g,8GB,32MP,50MP + 8MP,Qualcomm Snapdragon 7 Plus Gen 3,"5,500mAh",6.78 inches,"PKR 89,999","INR 30,999","CNY 2,800",USD 380,"AED 1,400",2023
Realme,14 Pro+ 5G 256GB,184g,12GB,16MP,50MP + 8MP + 50MP,Qualcomm Snapdragon 7s Gen 3,"6,000mAh",6.83 inches,"PKR 94,999","INR 34,999","CNY 2,600",USD 340,"AED 1,250",2025
Realme,14 Pro+ 5G 512GB,184g,12GB,16MP,50MP + 8MP + 50MP,Qualcomm Snapdragon 7s Gen 3,"6,000mAh",6.83 inches,"PKR 99,999","INR 36,999","CNY 2,800",USD 360,"AED 1,320",2025
Realme,14 Pro 5G 128GB,184g,8GB,16MP,50MP + 8MP,MediaTek Dimensity 7300 Energy,"5,800mAh",6.7 inches,"PKR 79,999","INR 29,999","CNY 2,400",USD 320,"AED 1,150",2025
Realme,14 Pro 5G 256GB,184g,8GB,16MP,50MP + 8MP,MediaTek Dimensity 7300 Energy,"5,800mAh",6.7 inches,"PKR 84,999","INR 31,999","CNY 2,500",USD 340,"AED 1,210",2025
Realme,14x 5G 128GB,190g,6GB,16MP,48MP + 2MP + 2MP,Qualcomm Snapdragon 7s Gen 2,"5,500mAh",6.6 inches,"PKR 64,999","INR 24,999","CNY 2,000",USD 270,AED 970,2025
Realme,14x 5G 256GB,190g,8GB,16MP,48MP + 2MP + 2MP,Qualcomm Snapdragon 7s Gen 2,"5,500mAh",6.6 inches,"PKR 69,999","INR 26,999","CNY 2,100",USD 290,"AED 1,030",2025
Realme,13+ 5G 128GB,185g,8GB,16MP,50MP + 2MP,MediaTek Dimensity 7200,"5,000mAh",6.5 inches,"PKR 59,999","INR 22,999","CNY 1,800",USD 250,AED 900,2024
Realme,13+ 5G 256GB,185g,8GB,16MP,50MP + 2MP,MediaTek Dimensity 7200,"5,000mAh",6.5 inches,"PKR 64,999","INR 24,999","CNY 1,900",USD 270,AED 970,2024
Realme,13 5G 128GB,190g,6GB,16MP,50MP + 2MP,MediaTek Dimensity 6100+,"5,000mAh",6.6 inches,"PKR 49,999","INR 18,999","CNY 1,500",USD 220,AED 800,2024
Realme,13 5G 256GB,190g,8GB,16MP,50MP + 2MP,MediaTek Dimensity 6100+,"5,000mAh",6.6 inches,"PKR 54,999","INR 20,999","CNY 1,600",USD 240,AED 860,2024
Realme,13 Pro 5G 128GB,192g,8GB,16MP,50MP + 8MP + 2MP,Qualcomm Snapdragon 7s Gen 2,"5,200mAh",6.7 inches,"PKR 74,999","INR 27,999","CNY 2,200",USD 300,"AED 1,070",2024
Realme,13 Pro 5G 256GB,192g,12GB,16MP,50MP + 8MP + 2MP,Qualcomm Snapdragon 7s Gen 2,"5,200mAh",6.7 inches,"PKR 79,999","INR 29,999","CNY 2,400",USD 320,"AED 1,140",2024
Realme,13 Pro+ 5G 256GB,195g,12GB,32MP,50MP + 8MP + 50MP,Qualcomm Snapdragon 7+ Gen 2,"5,500mAh",6.78 inches,"PKR 94,999","INR 34,999","CNY 2,800",USD 360,"AED 1,320",2024
Realme,13 Pro+ 5G 512GB,195g,16GB,32MP,50MP + 8MP + 50MP,Qualcomm Snapdragon 7+ Gen 2,"5,500mAh",6.78 inches,"PKR 99,999","INR 36,999","CNY 3,000",USD 380,"AED 1,390",2024
Realme,P1 Speed 5G 128GB,185g,8GB,16MP,64MP + 2MP,MediaTek Dimensity 8100,"5,100mAh",6.7 inches,"PKR 54,999","INR 19,999","CNY 1,800",USD 250,AED 900,2024
Realme,P1 Speed 5G 256GB,185g,12GB,16MP,64MP + 2MP,MediaTek Dimensity 8100,"5,100mAh",6.7 inches,"PKR 59,999","INR 21,999","CNY 1,900",USD 270,AED 960,2024
Realme,P2 Pro 5G 256GB,188g,12GB,32MP,50MP + 8MP + 50MP,Qualcomm Snapdragon 7+ Gen 3,"5,500mAh",6.78 inches,"PKR 89,999","INR 32,999","CNY 2,500",USD 340,"AED 1,210",2024
Realme,P2 Pro 5G 512GB,188g,16GB,32MP,50MP + 8MP + 50MP,Qualcomm Snapdragon 7+ Gen 3,"5,500mAh",6.78 inches,"PKR 94,999","INR 34,999","CNY 2,700",USD 360,"AED 1,280",2024
Realme,P1 5G 128GB,184g,6GB,16MP,50MP + 2MP,MediaTek Dimensity 6100+,"5,000mAh",6.6 inches,"PKR 44,999","INR 16,999","CNY 1,400",USD 200,AED 720,2024
Realme,P1 5G 256GB,184g,8GB,16MP,50MP + 2MP,MediaTek Dimensity 6100+,"5,000mAh",6.6 inches,"PKR 49,999","INR 18,999","CNY 1,500",USD 220,AED 780,2024
