Company Name,Model Name,Mobile Weight,RAM,Front Camera,Back Camera,Processor,Battery Capacity,Screen Size,Launched Price (Pakistan),Launched Price (India),Launched Price (China),Launched Price (USA),Launched Price (Dubai),Launched Year
Vivo,X200 128GB,223g,12GB,32MP,50MP,Dimensity 9400,6000mAh,6.78 inches,"PKR 199,999","INR 119,999","CNY 6,999",USD 999,"AED 3,699",2024
Vivo,X200 256GB,223g,12GB,32MP,50MP,Dimensity 9400,6000mAh,6.78 inches,"PKR 219,999","INR 129,999","CNY 7,499","USD 1,099","AED 3,999",2024
Vivo,X200 Pro 256GB,223g,16GB,32MP,200MP,Dimensity 9400,6000mAh,6.78 inches,"PKR 229,999","INR 139,999","CNY 7,999","USD 1,199","AED 4,399",2024
Vivo,X200 Pro 512GB,223g,16GB,32MP,200MP,Dimensity 9400,6000mAh,6.78 inches,"PKR 249,999","INR 149,999","CNY 8,499","USD 1,299","AED 4,699",2024
Vivo,X200 Pro Mini 256GB,187g,16GB,32MP,50MP,Dimensity 9400,5700mAh,6.31 inches,"PKR 189,999","INR 109,999","CNY 6,499",USD 949,"AED 3,499",2024
Vivo,V40e 128GB,179g,8GB,44MP,64MP,Snapdragon 778G,4100mAh,6.44 inches,"PKR 79,999","INR 44,999","CNY 2,999",USD 449,"AED 1,649",2024
Vivo,Y200 GT 128GB,190g,12GB,16MP,64MP,Dimensity 1200,5000mAh,6.58 inches,"PKR 69,999","INR 39,999","CNY 2,499",USD 399,"AED 1,499",2024
Vivo,T3 5G 128GB,180g,8GB,16MP,50MP,Snapdragon 870,5000mAh,6.67 inches,"PKR 59,999","INR 34,999","CNY 2,299",USD 349,"AED 1,299",2024
Vivo,Y100 5G 128GB,181g,8GB,16MP,64MP,Dimensity 900,4500mAh,6.38 inches,"PKR 54,999","INR 29,999","CNY 1,999",USD 299,"AED 1,099",2024
Vivo,S18 Pro 256GB,189g,12GB,32MP,108MP,Snapdragon 8 Gen 2,4700mAh,6.56 inches,"PKR 99,999","INR 59,999","CNY 3,999",USD 599,"AED 2,199",2024
Vivo,V30 Pro 128GB,192g,12GB,32MP,64MP,Dimensity 1100,4500mAh,6.44 inches,"PKR 89,999","INR 49,999","CNY 3,499",USD 549,"AED 1,999",2024
Vivo,iQOO 12 256GB,210g,16GB,16MP,50MP,Snapdragon 8 Gen 3,5000mAh,6.78 inches,"PKR 109,999","INR 64,999","CNY 4,499",USD 699,"AED 2,599",2024
Vivo,Z3 64GB,162g,6GB,12MP,16MP,Snapdragon 710,3315mAh,6.3 inches,"PKR 39,999","INR 22,999","CNY 1,699",USD 249,AED 899,2018
Vivo,V9 64GB,150g,4GB,24MP,16MP,Snapdragon 626,3260mAh,6.3 inches,"PKR 34,999","INR 19,999","CNY 1,499",USD 219,AED 799,2018
Vivo,X9 Plus 128GB,199g,6GB,20MP+8MP,16MP,Snapdragon 653,4000mAh,5.88 inches,"PKR 42,999","INR 24,999","CNY 2,199",USD 299,"AED 1,099",2017
Vivo,Y81 32GB,146g,3GB,5MP,13MP,MediaTek Helio P22,3260mAh,6.22 inches,"PKR 22,999","INR 12,999",CNY 999,USD 149,AED 549,2018
Vivo,X5Max 16GB,146g,2GB,5MP,13MP,Snapdragon 615,2300mAh,5.5 inches,"PKR 29,999","INR 16,999","CNY 1,299",USD 199,AED 699,2014
Vivo,V5 Plus 64GB,158g,4GB,20MP+8MP,16MP,Snapdragon 625,3055mAh,5.5 inches,"PKR 39,999","INR 22,999","CNY 1,699",USD 249,AED 899,2017
Vivo,Y95 64GB,163g,4GB,20MP,13MP+2MP,Snapdragon 439,4030mAh,6.22 inches,"PKR 29,999","INR 16,999","CNY 1,299",USD 199,AED 699,2018
Vivo,V3 Max 32GB,168g,4GB,8MP,13MP,Snapdragon 652,3000mAh,5.5 inches,"PKR 24,999","INR 13,999","CNY 1,199",USD 179,AED 649,2016
Vivo,X3S 16GB,153g,1GB,5MP,13MP,MediaTek MT6592,2000mAh,5.0 inches,"PKR 19,999","INR 10,999",CNY 899,USD 139,AED 499,2014
Vivo,Y66 32GB,155g,3GB,16MP,13MP,Snapdragon 430,3000mAh,5.5 inches,"PKR 27,999","INR 14,999","CNY 1,199",USD 179,AED 649,2017
Vivo,V19 128GB,176g,8GB,32MP,48MP,Qualcomm Snapdragon 712,4500mAh,6.44 inches,"PKR 49,999","INR 27,990","CNY 2,799",USD 399,"AED 1,499",2020
Vivo,V19 256GB,176g,8GB,32MP,48MP,Qualcomm Snapdragon 712,4500mAh,6.44 inches,"PKR 54,999","INR 31,990","CNY 3,199",USD 429,"AED 1,599",2020
Vivo,V17 Pro 128GB,201g,8GB,32MP,48MP,Qualcomm Snapdragon 675,4100mAh,6.44 inches,"PKR 54,999","INR 27,990","CNY 2,999",USD 399,"AED 1,499",2019
Vivo,V17 Pro 256GB,201g,8GB,32MP,48MP,Qualcomm Snapdragon 675,4100mAh,6.44 inches,"PKR 59,999","INR 33,990","CNY 3,199",USD 429,"AED 1,599",2019
Vivo,Y12s 64GB,191g,3GB,8MP,13MP,MediaTek Helio P35,5000mAh,6.51 inches,"PKR 18,999","INR 10,990",CNY 899,USD 159,AED 599,2020
Vivo,Y12s 128GB,191g,4GB,8MP,13MP,MediaTek Helio P35,5000mAh,6.51 inches,"PKR 22,999","INR 13,990","CNY 1,099",USD 179,AED 699,2020
Vivo,S1 Pro 128GB,185g,6GB,32MP,48MP,MediaTek Helio P65,4500mAh,6.38 inches,"PKR 39,999","INR 19,990","CNY 2,299",USD 249,AED 999,2019
Vivo,S1 Pro 256GB,185g,6GB,32MP,48MP,MediaTek Helio P65,4500mAh,6.38 inches,"PKR 44,999","INR 24,990","CNY 2,499",USD 269,"AED 1,099",2019
Vivo,Y11 32GB,190g,3GB,8MP,13MP,Qualcomm Snapdragon 439,5000mAh,6.35 inches,"PKR 18,499","INR 10,999",CNY 899,USD 149,AED 599,2019
Vivo,Y11 64GB,190g,3GB,8MP,13MP,Qualcomm Snapdragon 439,5000mAh,6.35 inches,"PKR 22,499","INR 13,490","CNY 1,099",USD 169,AED 649,2019
Vivo,V15 128GB,190g,6GB,32MP,48MP,MediaTek Helio P70,4000mAh,6.53 inches,"PKR 34,999","INR 22,990","CNY 2,199",USD 299,"AED 1,099",2019
Vivo,V15 256GB,190g,6GB,32MP,48MP,MediaTek Helio P70,4000mAh,6.53 inches,"PKR 39,999","INR 26,990","CNY 2,399",USD 319,"AED 1,199",2019
Vivo,X27 Pro 128GB,190g,8GB,32MP,48MP,Qualcomm Snapdragon 710,4000mAh,6.39 inches,"PKR 59,999","INR 35,990","CNY 3,499",USD 499,"AED 1,799",2019
Vivo,X27 Pro 256GB,190g,8GB,32MP,48MP,Qualcomm Snapdragon 710,4000mAh,6.39 inches,"PKR 64,999","INR 39,990","CNY 3,799",USD 549,"AED 1,999",2019
Vivo,Y30 128GB,193g,4GB,8MP,13MP,MediaTek Helio P35,5000mAh,6.47 inches,"PKR 24,999","INR 14,990","CNY 1,499",USD 199,AED 749,2020
Vivo,Y30 64GB,193g,3GB,8MP,13MP,MediaTek Helio P35,5000mAh,6.47 inches,"PKR 19,999","INR 11,990","CNY 1,299",USD 169,AED 649,2020
Vivo,Z1 Pro 64GB,159g,4GB,16MP,16MP,Qualcomm Snapdragon 712,4500mAh,6.53 inches,"PKR 29,999","INR 18,990","CNY 1,799",USD 249,AED 899,2019
Vivo,Z1 Pro 128GB,159g,6GB,16MP,16MP,Qualcomm Snapdragon 712,4500mAh,6.53 inches,"PKR 34,999","INR 22,990","CNY 2,099",USD 299,AED 999,2019
Vivo,X21 128GB,156g,6GB,12MP,12MP,Qualcomm Snapdragon 660,3200mAh,6.28 inches,"PKR 39,999","INR 24,990","CNY 2,299",USD 349,"AED 1,199",2018
Vivo,X21 64GB,156g,4GB,12MP,12MP,Qualcomm Snapdragon 660,3200mAh,6.28 inches,"PKR 34,999","INR 21,990","CNY 1,899",USD 299,AED 999,2018
Vivo,V23e 128GB,172g,8GB,50MP,64MP,MediaTek Helio G96,4050mAh,6.44 inches,"PKR 39,999","INR 20,999","CNY 1,799",USD 299,"AED 1,099",2021
Vivo,V23e 256GB,172g,8GB,50MP,64MP,MediaTek Helio G96,4050mAh,6.44 inches,"PKR 44,999","INR 24,999","CNY 1,999",USD 349,"AED 1,199",2021
Vivo,Y33s 128GB,182g,8GB,16MP,50MP,MediaTek Helio G80,5000mAh,6.58 inches,"PKR 34,999","INR 17,999","CNY 1,699",USD 239,AED 899,2021
Vivo,Y33s 64GB,182g,4GB,16MP,50MP,MediaTek Helio G80,5000mAh,6.58 inches,"PKR 29,999","INR 14,999","CNY 1,299",USD 179,AED 799,2021
Vivo,X60 Pro 256GB,190g,12GB,32MP,48MP,Qualcomm Snapdragon 870,4200mAh,6.56 inches,"PKR 109,999","INR 44,999","CNY 3,999",USD 899,"AED 1,999",2021
Vivo,X60 Pro 512GB,190g,12GB,32MP,48MP,Qualcomm Snapdragon 870,4200mAh,6.56 inches,"PKR 119,999","INR 49,999","CNY 4,199",USD 999,"AED 2,099",2021
Vivo,V20 Pro 128GB,173g,8GB,44MP,64MP,Qualcomm Snapdragon 765G,4000mAh,6.44 inches,"PKR 49,999","INR 25,999","CNY 2,699",USD 499,"AED 1,499",2020
Vivo,V20 Pro 256GB,173g,8GB,44MP,64MP,Qualcomm Snapdragon 765G,4000mAh,6.44 inches,"PKR 54,999","INR 29,999","CNY 2,999",USD 549,"AED 1,699",2020
Vivo,Y75 5G 128GB,179g,8GB,16MP,50MP,MediaTek Dimensity 700,5000mAh,6.58 inches,"PKR 54,999","INR 21,999","CNY 2,199",USD 349,"AED 1,299",2021
Vivo,Y75 5G 256GB,179g,8GB,16MP,50MP,MediaTek Dimensity 700,5000mAh,6.58 inches,"PKR 59,999","INR 25,999","CNY 2,499",USD 399,"AED 1,499",2021
Vivo,Y53s 128GB,190g,6GB,16MP,64MP,MediaTek Helio G80,5000mAh,6.58 inches,"PKR 34,999","INR 16,999","CNY 1,699",USD 229,AED 899,2021
Vivo,Y53s 64GB,190g,6GB,16MP,64MP,MediaTek Helio G80,5000mAh,6.58 inches,"PKR 29,999","INR 13,999","CNY 1,299",USD 179,AED 799,2021
Vivo,V15 Pro 128GB,185g,6GB,32MP,48MP,Qualcomm Snapdragon 675,3700mAh,6.39 inches,"PKR 44,999","INR 25,999","CNY 2,499",USD 399,"AED 1,499",2019
Vivo,V15 Pro 256GB,185g,6GB,32MP,48MP,Qualcomm Snapdragon 675,3700mAh,6.39 inches,"PKR 49,999","INR 29,999","CNY 2,799",USD 449,"AED 1,699",2019
Vivo,X70 Pro 128GB,185g,8GB,32MP,50MP,MediaTek Dimensity 1200,4450mAh,6.56 inches,"PKR 99,999","INR 39,999","CNY 4,299",USD 749,"AED 2,099",2021
Vivo,X70 Pro 256GB,185g,8GB,32MP,50MP,MediaTek Dimensity 1200,4450mAh,6.56 inches,"PKR 109,999","INR 44,999","CNY 4,699",USD 799,"AED 2,299",2021
Vivo,T1 5G 128GB,181g,6GB,16MP,50MP,Qualcomm Snapdragon 695,5000mAh,6.58 inches,"PKR 39,999","INR 17,999","CNY 1,799",USD 269,AED 999,2022
Vivo,T1 5G 256GB,181g,8GB,16MP,50MP,Qualcomm Snapdragon 695,5000mAh,6.58 inches,"PKR 44,999","INR 21,999","CNY 1,999",USD 319,"AED 1,099",2022
Vivo,X30 Pro 128GB,199g,8GB,32MP,64MP,Qualcomm Snapdragon 855,4200mAh,6.44 inches,"PKR 109,999","INR 47,999","CNY 4,599",USD 899,"AED 2,299",2019
Vivo,X30 Pro 256GB,199g,8GB,32MP,64MP,Qualcomm Snapdragon 855,4200mAh,6.44 inches,"PKR 119,999","INR 54,999","CNY 5,199",USD 949,"AED 2,499",2019
Vivo,V27 128GB,182g,8GB,50MP,50MP,MediaTek Dimensity 8200,4600mAh,6.78 inches,"PKR 79,999","INR 29,999","CNY 2,999",USD 599,"AED 1,699",2023
Vivo,V27 256GB,182g,8GB,50MP,50MP,MediaTek Dimensity 8200,4600mAh,6.78 inches,"PKR 84,999","INR 32,999","CNY 3,199",USD 649,"AED 1,899",2023
Vivo,V27 Pro 128GB,182g,8GB,50MP,50MP,MediaTek Dimensity 8200,4600mAh,6.78 inches,"PKR 89,999","INR 34,999","CNY 3,299",USD 699,"AED 1,899",2023
Vivo,V27 Pro 256GB,182g,8GB,50MP,50MP,MediaTek Dimensity 8200,4600mAh,6.78 inches,"PKR 94,999","INR 37,999","CNY 3,499",USD 749,"AED 2,099",2023
Vivo,V25 Pro 128GB,190g,8GB,32MP,64MP,MediaTek Dimensity 1300,4830mAh,6.56 inches,"PKR 79,999","INR 25,999","CNY 2,799",USD 599,"AED 1,599",2022
Vivo,V25 Pro 256GB,190g,8GB,32MP,64MP,MediaTek Dimensity 1300,4830mAh,6.56 inches,"PKR 85,999","INR 29,999","CNY 2,999",USD 649,"AED 1,799",2022
Vivo,X90 Pro 256GB,221g,12GB,32MP,50MP,MediaTek Dimensity 9200,4870mAh,6.78 inches,"PKR 199,999","INR 69,999","CNY 6,999","USD 1,099","AED 3,999",2022
Vivo,X90 Pro 512GB,221g,12GB,32MP,50MP,MediaTek Dimensity 9200,4870mAh,6.78 inches,"PKR 229,999","INR 79,999","CNY 7,499","USD 1,199","AED 4,499",2022
Vivo,Y100 128GB,190g,8GB,16MP,64MP,MediaTek Dimensity 900,4500mAh,6.44 inches,"PKR 59,999","INR 19,999","CNY 1,999",USD 399,"AED 1,199",2023
Vivo,Y100 256GB,190g,8GB,16MP,64MP,MediaTek Dimensity 900,4500mAh,6.44 inches,"PKR 64,999","INR 22,999","CNY 2,199",USD 449,"AED 1,399",2023
Vivo,T2 Series 128GB,190g,8GB,16MP,64MP,Qualcomm Snapdragon 695,4500mAh,6.44 inches,"PKR 49,999","INR 15,999","CNY 1,699",USD 299,AED 999,2023
Vivo,T2 Series 256GB,190g,8GB,16MP,64MP,Qualcomm Snapdragon 695,4500mAh,6.44 inches,"PKR 54,999","INR 18,999","CNY 1,799",USD 349,"AED 1,099",2023
Vivo,V23 5G 128GB,179g,8GB,50MP,64MP,MediaTek Dimensity 920,4200mAh,6.44 inches,"PKR 69,999","INR 27,999","CNY 2,799",USD 499,"AED 1,499",2022
Vivo,V23 5G 256GB,179g,8GB,50MP,64MP,MediaTek Dimensity 920,4200mAh,6.44 inches,"PKR 74,999","INR 32,999","CNY 3,199",USD 549,"AED 1,699",2022
Vivo,X80 256GB,206g,12GB,32MP,50MP,MediaTek Dimensity 9000,4700mAh,6.78 inches,"PKR 179,999","INR 59,999","CNY 5,999",USD 899,"AED 3,499",2022
Vivo,X80 512GB,206g,12GB,32MP,50MP,MediaTek Dimensity 9000,4700mAh,6.78 inches,"PKR 199,999","INR 69,999","CNY 6,499",USD 999,"AED 3,999",2022
Vivo,Y21 128GB,182g,4GB,8MP,13MP,MediaTek Helio P35,5000mAh,6.51 inches,"PKR 29,999","INR 12,999","CNY 1,299",USD 199,AED 699,2021
Vivo,Y21 64GB,182g,4GB,8MP,13MP,MediaTek Helio P35,5000mAh,6.51 inches,"PKR 26,999","INR 9,999","CNY 1,099",USD 179,AED 599,2021
Vivo,Pad 128GB,498g,6GB,8MP,13MP,Snapdragon 870,8040mAh,11 inches,"PKR 64,999","INR 34,999","CNY 2,499",USD 329,"AED 1,199",2022
Vivo,Pad 2 256GB,535g,8GB,8MP,50MP,MediaTek Dimensity 1200,8040mAh,11 inches,"PKR 74,999","INR 39,999","CNY 3,199",USD 399,"AED 1,399",2023
Vivo,Pad Air 128GB,510g,6GB,8MP,13MP,Snapdragon 870,8040mAh,10.4 inches,"PKR 58,999","INR 31,999","CNY 2,199",USD 279,AED 999,2023
Vivo,Pad 3 128GB,500g,6GB,8MP,13MP,Snapdragon 750G,8040mAh,11 inches,"PKR 62,999","INR 34,999","CNY 2,399",USD 349,"AED 1,199",2023
Vivo,Pad 3 Pro 256GB,550g,8GB,8MP,50MP,Snapdragon 888,8040mAh,12.3 inches,"PKR 84,999","INR 45,999","CNY 3,599",USD 449,"AED 1,599",2023
Vivo,Pad 4 Pro 256GB,560g,8GB,8MP,50MP,MediaTek Dimensity 9000,8040mAh,12.9 inches,"PKR 94,999","INR 49,999","CNY 4,299",USD 499,"AED 1,799",2024
